LocationId,Street,ZIP,longitude,latitude,#supermarkets,#foodandbeverage,BFS_NUMMER,NAME,Einkommenssteuer_Kanton,Einkommenssteuer_Gemeinde,Vermögenssteuer_Kanton,Vermögenssteuer_Gemeinde
3e842fd9-8b3d-4190-8327-6146b44cbd90,Hauptstrasse 5aA,5113.0,8.1666559,47.4324632,0,0,4199,Holderbank (AG),112.0,95.0,112.0,95.0
052d191a-0f40-425f-9d37-c4e61ddfa209,Hauptstrasse 5,5113.0,8.2224758,47.550465,0,0,4303,BÃ¶ttstein,112.0,107.0,112.0,107.0
006e62ed-5ecc-4306-a20a-dccd78f12190,Zürcherstrasse 86,5432.0,8.3224583,47.4530439,1,1,4034,Neuenhof,112.0,112.0,112.0,112.0
007795db-9173-43f7-95ee-151a618b49c4,Zürcherstrasse 26,4310.0,7.801635200000001,47.5513023,0,0,4258,Rheinfelden,112.0,90.0,112.0,90.0
ae0f34ef-71ab-4222-ad10-b3b0dd5d4b63,Hauptstrasse 99,4853.0,7.8370379,47.26790399999999,1,0,4279,Murgenthal,112.0,115.0,112.0,115.0
5c121c95-755e-461a-88b3-9e56bbed95a0,Gottfried Keller-Str. 6,4800.0,7.9383178,47.285398,1,3,4289,Zofingen,112.0,99.0,112.0,99.0
7320a5af-1db4-44fe-9464-e9c4e4559d13,Lettenstrasse 9B,8916.0,8.3945869,47.2949784,0,2,4071,Jonen,112.0,87.0,112.0,87.0
59ad2a98-d784-48da-9954-5e0f6e8de33c,,8967.0,8.357085999999999,47.3728777,0,0,4081,Widen,112.0,75.0,112.0,75.0
268d3150-d95f-4c40-80dd-80a064270771,Ziertalstrasse 33,5703.0,8.160995699999999,47.3555491,0,1,4209,Seon,112.0,108.0,112.0,108.0
7065a70b-c82e-4309-95f7-4f8090325254,Ob. Muehlemattstr. 58,4800.0,7.939911800000001,47.285382,1,9,4289,Zofingen,112.0,99.0,112.0,99.0
e6805fb8-8539-4f9a-9e2e-802434eac6fe,Strick 4,5304.0,8.285057799999999,47.5355052,2,0,4305,Endingen,112.0,111.0,112.0,111.0
b44e3081-b571-462e-b35c-b1b0349fd6a4,Marktgasse 4,4800.0,7.945572100000001,47.2879629,1,33,4289,Zofingen,112.0,99.0,112.0,99.0
21bf3909-ec0d-4eff-907d-f656f2a3c2fd,Sandgasse 5,5734.0,8.1814228,47.2587283,0,6,4141,Reinach (AG),112.0,115.0,112.0,115.0
df1e1867-6e50-4c39-bf97-55b779f66885,Winkelstrasse 10/12,4665.0,7.930678400000001,47.301466,1,0,4280,Oftringen,112.0,113.0,112.0,113.0
c42285da-1631-441f-91dc-d54c273d3a16,Bahnhofstrasse 140 + 142,4313.0,7.849006900000001,47.5534694,1,3,4254,MÃ¶hlin,112.0,115.0,112.0,115.0
fc0863ae-7067-4c63-91de-30e6c5b65984,Bifangstrasse 30,5610.0,8.2821488,47.3466386,0,1,4082,Wohlen (AG),112.0,113.0,112.0,113.0
2c29d758-e90b-4532-8c33-5aa1271e1b55,General-Guisanstrasse 39,5000.0,8.056475299999999,47.3791045,0,0,4001,Aarau,112.0,96.0,112.0,96.0
df9fb804-545e-46a5-b123-3b4c6564b54e,Schmittenrain 2,5057.0,8.0442135,47.2569534,0,1,4281,Reitnau,112.0,122.0,112.0,122.0
2340cf1b-b197-4378-b190-13dc54a80b9f,Hauptstrasse 7,5312.0,8.6287325,47.5163297,0,0,224,Pfungen,99.0,117.0,99.0,117.0
69bed0a8-27ba-4d01-ae71-6c03b7136e7d,Wydenstrasse 13,5734.0,8.193602,47.2624643,0,0,4141,Reinach (AG),112.0,115.0,112.0,115.0
6026cb73-1d2a-4adf-9efe-ce034028a581,Winkelstrasse 16,5304.0,8.291783800000001,47.5392465,2,0,4305,Endingen,112.0,111.0,112.0,111.0
49dccd23-65f7-42ab-b349-6b7d4766dc98,Landstrasse 8,5073.0,8.007375099999999,47.5017054,1,2,4165,Gipf-Oberfrick,112.0,99.0,112.0,99.0
3c91846e-0f7a-48ac-8f8a-ab0cabfd5c0e,Allmendweg 22,5000.0,8.0383265,47.3926018,2,30,4001,Aarau,112.0,96.0,112.0,96.0
f2ba412f-4144-4f92-98ba-0ef0b17fbab6,Grenzstrasse 19,5737.0,8.183783499999999,47.2368021,0,0,4139,Menziken,112.0,118.0,112.0,118.0
85b0a60b-85d3-459f-8489-564b88c0350f,Grenzstrasse 19,5736.0,8.183783499999999,47.2368021,0,0,4139,Menziken,112.0,118.0,112.0,118.0
39c371b0-f03a-4301-9f7d-68e2060bf0ea,Grenzstrasse 19,5734.0,9.1708772,47.6547807,1,5,4671,Kreuzlingen,109.0,132.0,109.0,132.0
abd326dd-443f-4452-a742-9d579c07fcbb,Grenzstrasse 19,5734.0,9.1708772,47.6547807,1,5,4671,Kreuzlingen,109.0,132.0,109.0,132.0
bb2906fb-9884-4e99-b41b-6f5ce11afa2b,Grenzstrasse 19,5737.0,8.183783499999999,47.2368021,0,0,4139,Menziken,112.0,118.0,112.0,118.0
7ff7deaf-bc42-479e-a81e-feba95637b37,Grenzstrasse 19,5737.0,8.183783499999999,47.2368021,0,0,4139,Menziken,112.0,118.0,112.0,118.0
